StudentID,Age,Attendance,StudyHours,Marks
120,22,89,10,76
121,23,64,6,62
122,22,83,6,71
123,18,68,1,37
124,22,78,6,52
125,24,61,8,67
126,24,81,1,50
127,19,57,4,50
128,21,65,4,87
129,21,85,9,74
130,23,60,1,42
131,21,57,3,93
132,19,51,4,94
133,24,90,3,67
134,23,76,5,53
135,22,98,5,96
136,23,51,10,65
137,20,74,10,49
138,19,79,3,65
139,21,85,8,42
140,24,51,10,80
141,22,100,6,58
142,21,85,6,95
143,24,61,10,38
144,23,54,9,43
145,18,99,4,36
146,22,75,5,96
147,20,97,5,95
148,19,63,6,100
149,23,81,2,68
150,18,76,1,53
151,18,73,4,83
152,18,55,2,46
153,20,98,4,54
154,23,86,1,70
155,23,70,1,64
156,20,71,2,81
157,20,88,6,36
158,19,74,6,90
159,21,68,9,80
160,18,76,9,69
161,20,80,5,94
162,24,64,2,38
163,21,84,4,96
164,22,89,5,44
165,20,55,4,70
166,20,53,1,42
167,21,85,6,53
168,22,56,10,72
169,23,53,6,71
170,21,99,4,54
171,23,62,2,46
172,22,76,1,71
173,19,96,9,42
174,18,50,2,95
175,19,85,3,75
176,21,70,2,60
177,20,90,9,86
178,24,75,9,88
179,22,68,10,89
180,23,53,1,48
181,23,83,8,86
182,19,61,4,87
183,22,94,7,35
184,24,71,2,96
185,19,57,8,96
186,20,96,2,53
187,23,68,3,100
188,24,73,2,89
189,23,59,8,99
190,22,72,4,78
191,24,82,5,84
192,20,54,9,100
193,22,74,10,57
194,24,51,1,53
195,20,54,8,64
196,21,97,8,70
197,24,88,6,52
198,19,64,4,78
199,24,97,8,40
200,20,82,6,39
201,21,83,2,61
202,19,68,10,36
203,24,57,2,57
204,18,78,2,43
205,19,85,2,71
206,23,77,5,74
207,18,77,5,44
208,20,63,8,55
209,24,86,8,89
210,21,84,9,76
211,21,76,3,37
212,18,88,4,36
213,24,81,4,42
214,18,62,8,58
215,22,78,4,84
216,21,56,9,76
217,22,84,5,53
218,24,52,10,66
219,22,93,8,74
220,23,75,5,41
221,24,94,3,86
222,18,72,3,78
223,20,77,1,91
224,18,85,1,38
225,21,99,6,81
226,18,90,7,77
227,20,55,7,87
228,21,50,8,44
229,20,50,1,82
230,24,68,8,75
231,22,81,2,53
232,19,83,2,61
233,18,95,5,79
234,24,80,6,100
235,19,50,10,51
236,22,81,5,95
237,20,92,6,49
238,22,88,3,95
239,18,70,6,43
240,19,88,2,56
241,21,54,10,69
242,19,56,4,64
243,19,81,5,48
244,24,60,2,63
245,19,51,1,97
246,23,90,7,73
247,21,87,5,89
248,22,88,4,82
249,23,83,9,45
250,22,79,3,41
251,23,53,6,83
252,18,52,3,99
253,19,76,1,100
254,24,85,4,57
255,24,65,3,55
256,20,81,5,87
257,23,62,7,93
258,20,82,10,45
259,24,74,9,95
260,23,51,8,86
261,18,81,9,78
262,20,56,4,63
263,24,87,8,64
264,19,92,6,86
265,22,95,9,94
266,23,57,6,42
267,23,50,2,44
268,20,63,2,44
269,21,57,3,93
270,19,71,5,37
271,18,82,8,49
272,23,59,8,59
273,19,96,8,64
274,23,85,6,43
275,23,58,9,80
276,18,79,10,39
277,23,89,3,58
278,19,88,2,45
279,19,82,5,41
280,18,98,8,38
281,18,52,3,70
282,22,54,5,82
283,19,98,4,65
284,22,76,9,44
285,18,76,8,92
286,19,54,2,74
287,20,53,10,99
288,19,74,4,82
289,23,52,8,66
290,18,54,10,75
291,23,67,5,38
292,21,74,9,89
293,20,93,3,53
294,18,51,3,86
295,18,99,6,67
296,20,72,10,95
297,22,82,3,98
298,20,87,4,66
299,24,79,10,86
300,18,96,10,77
301,24,87,1,39
302,20,83,8,99
303,20,83,3,59
304,20,77,6,83
305,22,53,10,55
306,19,67,6,62
307,19,84,2,38
308,19,87,8,44
309,18,57,7,45
310,21,55,8,97
311,20,99,5,37
312,23,91,7,70
313,22,77,2,37
314,23,86,4,61
315,24,86,10,100
316,18,72,9,62
317,19,90,4,46
318,24,50,2,45
319,18,68,10,81
320,21,84,1,49
321,18,87,7,82
322,24,82,9,92
323,21,59,2,68
324,18,50,6,35
325,19,54,3,65
326,19,67,7,71
327,18,60,5,76
328,21,99,7,45
329,18,53,2,46
330,24,76,6,48
331,22,88,7,95
332,18,51,7,54
333,19,66,1,69
334,20,73,4,50
335,22,85,7,80
336,21,100,3,51
337,18,79,6,85
338,19,91,8,80
339,20,51,4,55
340,23,94,5,90
341,21,89,4,68
342,21,64,10,84
343,22,75,9,90
344,22,100,2,78
345,22,97,1,51
346,24,96,6,98
347,24,66,8,81
348,22,50,6,56
349,24,100,10,64
350,21,51,4,95
351,24,77,7,72
352,19,74,8,100
353,22,59,5,85
354,19,65,10,81
355,21,83,4,97
356,18,86,10,64
357,22,76,7,83
358,21,76,2,81
359,18,72,8,59
360,21,80,9,86
361,18,67,5,56
362,23,78,1,57
363,20,64,8,99
364,18,59,6,77
365,23,96,3,67
366,23,100,5,82
367,21,96,10,35
368,18,56,7,35
369,18,88,7,87
370,19,98,10,90
371,21,54,9,71
372,20,72,9,76
373,18,51,7,79
374,23,66,4,46
375,20,61,2,49
376,20,54,6,67
377,18,90,3,61
378,19,90,9,94
379,18,72,1,39
380,22,50,5,78
381,23,95,9,53
382,22,76,7,76
383,23,93,5,88
384,19,82,7,87
385,18,82,7,64
386,22,94,3,85
387,24,64,5,75
388,22,56,3,83
389,21,53,10,93
390,18,82,7,37
391,18,64,6,45
392,23,98,4,48
393,18,60,2,64
394,24,71,6,51
395,18,89,7,57
396,23,56,2,45
397,24,92,6,72
398,24,80,7,79
399,24,97,7,92
400,22,97,8,79
401,24,66,8,91
402,18,80,3,69
403,21,81,3,51
404,22,91,3,75
405,23,67,10,45
406,19,58,7,87
407,20,78,6,66
408,18,59,6,70
409,19,53,7,96
410,22,64,5,50
411,19,64,4,41
412,24,61,2,98
413,22,89,4,80
414,20,87,3,51
415,23,72,1,94
416,18,74,6,77
417,22,58,5,49
418,23,94,5,42
419,24,63,2,68
420,19,77,10,48
421,23,59,2,93
422,19,51,7,59
423,18,62,9,47
424,24,88,7,99
425,21,81,3,86
426,20,74,7,35
427,18,78,1,93
428,18,61,4,66
429,24,77,7,64
430,19,85,4,67
431,20,79,10,68
432,19,63,5,91
433,23,92,9,42
434,22,53,2,63
435,18,99,7,96
436,20,58,9,62
437,20,50,9,65
438,24,56,8,82
439,22,82,2,94
440,20,83,4,78
441,24,63,5,55
442,24,78,6,95
443,19,89,9,69
444,19,85,2,76
445,21,85,3,91
446,24,92,4,61
447,24,77,2,61
448,18,98,4,88
449,22,54,7,100
450,24,56,8,76
451,24,98,10,49
452,19,65,3,44
453,24,68,2,88
454,19,98,1,45
455,23,80,1,45
456,22,66,3,65
457,18,67,3,65
458,21,77,8,44
459,24,77,1,44
460,24,88,5,92
461,18,100,1,81
462,23,90,5,46
463,20,98,8,46
464,19,56,4,55
465,21,62,10,94
466,23,52,4,97
467,23,72,8,63
468,18,89,3,56
469,20,79,6,99
470,19,65,8,75
471,18,52,2,90
472,19,65,9,55
473,18,63,8,60
474,19,86,5,90
475,21,84,2,80
476,21,61,4,59
477,19,95,3,58
478,22,72,3,95
479,21,71,9,40
480,23,96,9,67
481,21,70,6,91
482,20,90,7,51
483,20,81,3,81
484,23,100,10,78
485,18,91,7,84
486,21,82,1,53
487,19,90,4,92
488,20,93,10,59
489,19,89,10,73
490,23,59,9,38
491,22,91,3,100
492,21,52,6,80
493,20,77,1,51
494,22,50,3,52
495,22,58,8,38
496,24,51,3,96
497,24,94,4,50
498,18,72,5,82
499,23,55,2,96
500,20,85,8,92
501,21,94,1,97
502,19,74,5,52
503,21,81,10,77
504,22,66,2,92
505,24,63,4,63
506,20,69,2,53
507,22,51,3,85
508,18,99,1,96
509,24,56,3,73
510,24,75,6,71
511,24,68,2,93
512,20,81,3,40
513,19,94,1,63
514,21,80,1,97
515,24,60,2,95
516,23,71,10,44
517,19,84,8,41
518,22,76,4,45
519,24,85,4,50
520,21,95,9,86
521,20,75,3,68
522,21,73,6,44
523,19,96,1,44
524,18,93,1,74
525,22,58,8,76
526,18,77,6,74
527,24,72,6,100
528,18,77,7,68
529,24,59,10,37
530,21,78,2,38
531,19,63,2,64
532,19,64,10,50
533,22,57,6,45
534,20,95,6,100
535,19,77,6,100
536,24,69,10,82
537,19,89,7,46
538,24,73,5,61
539,20,84,3,57
540,22,77,4,52
541,19,94,4,93
542,24,80,8,65
543,21,91,9,56
544,24,53,5,67
545,19,55,9,57
546,22,75,6,61
547,20,53,8,63
548,23,59,6,75
549,18,84,6,37
550,24,74,2,54
551,23,97,4,51
552,20,80,7,90
553,18,58,7,74
554,23,68,6,86
555,19,68,4,99
556,19,70,1,44
557,19,90,3,80
558,20,57,5,72
559,21,50,10,51
560,22,55,9,77
561,23,78,7,54
562,18,63,6,76
563,24,63,6,68
564,21,57,6,75
565,20,69,5,46
566,24,80,5,87
567,19,62,9,79
568,18,60,2,100
569,23,81,7,55
570,22,85,8,56
571,19,73,6,68
572,20,83,2,52
573,20,98,5,75
574,20,64,10,83
575,19,84,10,90
576,24,84,5,40
577,22,58,10,59
578,24,84,4,80
579,19,53,4,58
580,24,65,9,97
581,19,92,4,87
582,23,85,5,51
583,21,69,2,93
584,18,67,6,87
585,18,50,9,56
586,19,50,1,70
587,24,65,9,93
588,24,75,1,67
589,24,73,1,86
590,24,99,3,70
591,18,85,3,82
592,18,94,6,38
593,22,91,4,59
594,24,89,1,44
595,21,61,2,65
596,23,55,3,48
597,18,93,1,73
598,21,54,7,95
599,21,92,10,86
600,18,54,3,46
601,20,78,4,67
602,18,100,2,78
603,22,88,10,35
604,22,75,4,55
605,21,96,2,44
606,22,57,4,74
607,22,74,7,73
608,18,50,7,62
609,20,62,9,82
610,22,94,4,58
611,19,81,10,69
612,21,76,5,94
613,20,52,2,54
614,19,89,3,40
615,20,62,8,68
616,22,66,9,74
617,24,79,2,79
618,24,73,8,72
619,19,73,4,68
620,21,64,4,86
621,24,91,3,97
622,19,76,2,80
623,21,72,6,80
624,24,55,8,78
625,21,77,8,37
626,24,97,2,54
627,21,67,4,74
628,22,72,4,92
629,21,80,3,97
630,19,88,7,97
631,18,98,2,63
632,24,92,2,47
633,20,94,4,89
634,19,72,1,49
635,23,62,1,48
636,21,52,4,94
637,23,58,8,49
638,19,70,5,71
639,22,65,2,78
640,21,64,2,44
641,19,88,3,97
642,18,82,6,80
643,19,57,4,71
644,19,76,7,81
645,21,77,8,46
646,24,71,1,57
647,20,60,5,84
648,24,53,6,97
649,24,67,4,53
650,21,81,4,42
651,18,69,7,67
652,20,67,4,35
653,22,89,5,99
654,18,97,10,36
655,18,87,9,99
656,23,64,7,71
657,24,53,7,64
658,21,62,8,90
659,23,81,4,40
660,20,76,9,93
661,22,64,2,94
662,20,74,7,60
663,20,54,4,73
664,18,80,2,73
665,24,74,2,91
666,20,71,5,71
667,22,91,5,97
668,24,97,7,66
669,24,59,2,100
670,22,73,9,38
671,19,93,8,99
672,24,58,4,87
673,21,52,2,50
674,21,62,3,39
675,21,63,10,67
676,18,72,9,75
677,18,62,9,59
678,24,62,3,66
679,24,95,5,95
680,24,89,8,100
681,24,84,1,100
682,20,98,8,91
683,21,53,5,82
684,23,55,7,44
685,18,61,7,84
686,19,96,8,96
687,21,79,4,42
688,20,85,10,44
689,18,57,2,52
690,22,64,10,65
691,20,82,3,50
692,23,67,5,55
693,19,86,7,90
694,20,64,2,51
695,18,54,10,44
696,23,81,2,36
697,21,87,6,54
698,18,93,1,63
699,19,71,6,69
700,20,94,6,53
701,21,52,2,70
702,18,50,10,50
703,23,84,7,59
704,18,93,1,51
705,22,94,2,69
706,19,73,9,65
707,20,68,2,95
708,24,85,10,89
709,19,52,6,51
710,22,80,8,83
711,24,64,6,50
712,19,99,10,67
713,21,59,1,82
714,21,50,8,81
715,21,98,3,97
716,20,99,8,46
717,18,92,6,79
718,18,90,5,67
719,23,92,8,52
720,23,100,10,47
721,19,60,9,58
722,23,89,9,50
723,21,51,10,53
724,22,62,3,95
725,20,72,1,51
726,23,54,7,64
727,19,72,9,74
728,23,63,8,65
729,23,94,5,80
730,22,66,7,83
731,20,98,6,45
732,20,95,4,79
733,23,55,1,65
734,20,86,5,82
735,23,59,6,69
736,21,71,3,57
737,23,73,1,43
738,18,67,4,55
739,23,87,1,37
740,20,58,7,60
741,21,77,3,35
742,19,77,6,68
743,18,90,4,54
744,19,74,10,67
745,18,86,3,36
746,20,69,5,78
747,24,79,1,91
748,19,62,1,56
749,19,72,8,75
750,24,99,7,55
751,24,77,9,37
752,18,65,3,75
753,19,97,5,98
754,20,64,10,57
755,18,86,9,64
756,20,78,6,87
757,22,54,5,57
758,21,78,10,92
759,24,91,9,38
760,21,100,9,49
761,20,77,7,51
762,20,51,5,84
763,23,81,9,57
764,21,99,9,37
765,19,77,9,54
766,18,74,4,99
767,20,97,7,74
768,24,91,2,58
769,22,57,3,35
770,22,53,6,81
771,20,56,8,47
772,20,50,3,75
773,19,95,5,78
774,21,84,9,69
775,21,100,3,55
776,19,80,5,85
777,19,54,9,76
778,19,100,10,41
779,23,73,1,45
780,18,81,7,49
781,18,99,2,92
782,24,93,5,35
783,22,87,7,89
784,23,79,9,47
785,18,78,9,37
786,19,79,7,85
787,24,73,4,99
788,20,56,5,68
789,19,60,1,92
790,23,94,5,87
791,21,76,7,93
792,18,63,9,85
793,19,61,6,87
794,22,85,4,100
795,22,71,4,69
796,21,86,8,52
797,22,55,4,74
798,22,64,6,44
799,18,65,9,36
800,23,56,6,52
801,22,80,10,50
802,19,72,9,73
803,21,81,6,84
804,19,75,2,74
805,19,70,10,52
806,24,63,8,51
807,23,82,4,47
808,21,68,5,58
809,18,63,2,83
810,20,89,5,50
811,18,99,6,51
812,18,99,1,82
813,18,59,7,47
814,21,95,7,69
815,19,98,6,73
816,19,79,9,74
817,21,82,7,81
818,20,61,10,63
819,22,62,1,66
820,19,62,7,51
821,19,73,2,45
822,21,59,2,97
823,21,94,8,83
824,21,51,5,59
825,21,58,8,95
826,21,51,2,87
827,24,78,7,49
828,24,64,1,35
829,21,82,1,42
830,22,89,6,53
831,21,80,9,55
832,21,90,8,38
833,24,76,3,48
834,20,61,9,100
835,23,92,4,93
836,20,64,7,71
837,21,75,6,81
838,18,68,2,55
839,18,93,3,92
840,24,97,6,71
841,18,90,9,91
842,18,63,1,45
843,24,64,5,39
844,20,100,4,65
845,20,53,6,47
846,20,100,6,35
847,19,92,7,59
848,23,80,5,86
849,23,66,1,68
850,19,62,1,52
851,24,54,5,37
852,22,62,4,48
853,19,94,1,87
854,21,99,2,56
855,22,66,8,55
856,20,100,10,96
857,24,56,9,39
858,24,98,10,60
859,20,94,9,72
860,24,95,5,99
861,23,94,5,51
862,24,79,8,67
863,21,66,2,63
864,23,51,1,77
865,21,97,9,36
866,22,60,6,66
867,18,74,5,56
868,23,84,4,87
869,19,91,3,90
870,24,99,2,92
871,22,51,2,93
872,22,94,3,62
873,24,95,8,79
874,22,83,5,84
875,20,90,2,81
876,19,72,3,79
877,23,75,4,38
878,19,75,9,75
879,24,95,1,58
880,18,79,9,63
881,19,99,1,100
882,21,54,10,80
883,23,77,7,81
884,18,84,3,53
885,21,85,3,90
886,18,52,4,91
887,21,79,3,85
888,18,79,2,49
889,20,57,7,35
890,21,95,4,82
891,19,63,3,68
892,18,63,1,73
893,22,84,1,44
894,24,82,2,52
895,21,58,2,45
896,22,63,6,35
897,22,74,6,52
898,19,68,6,42
899,22,95,5,53
900,20,57,10,98
901,20,59,7,63
902,22,87,7,39
903,18,51,1,69
904,21,93,1,75
905,22,89,7,68
906,19,69,4,76
907,22,91,3,90
908,18,69,5,46
909,23,69,7,89
910,19,69,4,67
911,22,77,2,69
912,18,71,8,71
913,18,76,4,80
914,23,61,8,50
915,23,62,8,62
916,24,79,9,86
917,20,57,7,97
918,18,57,10,41
919,24,69,6,61
920,20,81,6,91
921,18,54,8,78
922,19,73,7,91
923,23,76,8,40
924,20,63,3,42
925,19,73,10,100
926,18,63,1,69
927,22,92,6,71
928,24,56,6,77
929,18,62,1,95
930,19,90,5,40
931,20,86,4,55
932,24,78,5,41
933,22,85,8,90
934,18,66,5,90
935,20,98,7,69
936,22,90,1,93
937,23,70,8,66
938,22,79,8,63
939,20,69,5,83
940,21,57,6,61
941,24,99,7,98
942,21,94,4,90
943,20,93,7,86
944,20,96,10,76
945,24,99,3,58
946,22,88,5,58
947,19,60,7,87
948,20,87,9,46
949,24,91,2,96
950,20,88,8,86
951,23,72,1,37
952,19,57,1,75
953,18,70,6,37
954,19,72,8,78
955,22,88,10,99
956,20,81,9,77
957,22,52,9,49
958,18,67,10,58
959,23,93,2,100
960,21,58,8,77
961,20,100,8,72
962,24,88,9,65
963,18,54,4,51
964,23,60,5,59
965,18,97,1,49
966,22,70,3,60
967,20,51,4,51
968,19,81,5,58
969,22,51,10,95
970,19,99,2,68
971,20,51,2,82
972,20,86,10,48
973,20,93,3,70
974,18,94,9,39
975,22,99,10,85
976,18,93,5,45
977,18,66,7,74
978,21,56,9,98
979,23,82,5,98
980,23,67,9,39
981,24,75,3,68
982,20,98,4,76
983,22,100,2,39
984,23,100,2,45
985,18,70,8,100
986,20,57,4,42
987,19,91,5,97
988,21,61,10,70
989,18,71,9,57
990,20,70,3,95
991,21,82,7,42
992,24,73,3,48
993,21,53,6,84
994,20,53,9,86
995,24,65,7,58
996,19,55,4,43
997,24,72,3,71
998,24,63,10,47
999,18,76,8,98
1000,21,84,6,64
1001,24,61,1,44
1002,19,74,8,87
1003,23,75,6,80
1004,24,69,9,75
1005,22,75,1,40
1006,20,73,1,69
1007,24,53,9,80
1008,22,75,10,57
1009,19,99,10,53
1010,21,61,1,51
1011,22,70,8,95
1012,18,95,10,91
1013,22,97,5,85
1014,19,60,6,97
1015,21,94,2,66
1016,18,71,1,72
1017,19,69,3,98
1018,18,83,9,38
1019,19,56,9,84
1020,18,94,10,52
1021,23,52,10,100
1022,20,75,8,80
1023,24,78,4,66
1024,20,70,10,44
1025,22,71,3,36
1026,19,69,3,100
1027,20,64,5,84
1028,18,69,5,88
1029,20,63,9,94
1030,23,89,3,56
1031,23,71,3,36
1032,18,71,8,63
1033,23,74,3,51
1034,19,98,9,61
1035,24,92,5,47
1036,19,68,2,71
1037,20,69,1,79
1038,18,94,7,48
1039,23,97,10,56
1040,24,82,1,70
1041,19,80,5,71
1042,18,77,9,70
1043,24,84,3,78
1044,20,98,9,52
1045,21,87,7,72
1046,18,59,9,71
1047,19,100,1,66
1048,19,60,5,92
1049,22,84,7,95
1050,20,57,5,38
1051,19,99,8,51
1052,18,72,5,98
1053,24,61,8,36
1054,21,72,7,88
1055,24,57,6,55
1056,23,65,6,91
1057,24,66,6,89
1058,19,73,3,38
1059,23,95,1,56
1060,22,85,4,40
1061,23,57,1,47
1062,18,87,10,52
1063,18,75,4,39
1064,20,63,1,99
1065,24,64,2,84
1066,24,69,4,54
1067,18,54,3,85
1068,20,83,2,96
1069,22,90,7,70
1070,24,93,8,77
1071,20,52,8,87
1072,20,61,3,85
1073,19,55,3,83
1074,19,85,10,62
1075,19,59,3,98
1076,23,57,7,51
1077,18,98,4,36
1078,24,65,3,88
1079,23,63,5,83
1080,21,51,10,95
1081,23,89,7,94
1082,22,63,9,51
1083,24,58,4,41
1084,24,88,6,57
1085,19,89,2,75
1086,21,99,5,73
1087,19,98,3,74
1088,18,80,4,60
1089,19,81,5,95
1090,21,52,3,98
1091,18,58,1,68
1092,19,53,3,80
1093,23,62,8,96
1094,18,74,10,79
1095,23,75,1,83
1096,18,51,8,58
1097,24,60,7,78
1098,24,67,5,46
1099,22,75,10,44
1100,18,78,8,83
1101,22,61,3,40
1102,20,88,6,49
1103,20,84,2,65
1104,18,92,7,70
1105,23,59,5,72
1106,23,50,2,79
1107,19,76,3,94
1108,20,76,1,90
1109,20,79,2,90
1110,18,74,7,89
1111,20,75,8,35
1112,21,97,6,85
1113,19,99,1,87
1114,24,80,1,88
1115,19,71,10,70
1116,19,54,10,47
1117,21,89,4,90
1118,20,79,2,39
1119,21,94,10,91
1120,21,98,4,65
1121,20,80,9,54
1122,24,75,1,65
1123,24,77,4,81
1124,19,57,8,60
1125,24,93,10,64
1126,18,52,4,44
1127,20,79,8,74
1128,22,95,3,45
1129,21,56,7,81
1130,21,70,4,61
1131,19,81,4,62
1132,24,94,5,71
1133,20,52,2,63
1134,21,77,8,37
1135,21,88,1,91
1136,19,66,5,45
1137,24,58,2,69
1138,23,69,9,40
1139,22,55,3,69
1140,19,65,3,96
1141,19,69,3,79
1142,21,65,7,96
1143,18,61,4,76
1144,20,72,1,74
1145,23,62,10,35
1146,22,87,6,90
1147,23,83,10,85
1148,22,91,10,94
1149,22,98,8,56
1150,22,95,7,92
1151,23,71,5,52
1152,18,50,9,36
1153,21,66,5,49
1154,23,54,1,77
1155,20,73,5,73
1156,21,83,10,78
1157,23,83,3,67
1158,18,94,4,48
1159,24,83,1,77
1160,19,96,7,65
1161,19,77,8,76
1162,19,61,6,37
1163,21,84,4,94
1164,22,60,3,56
1165,22,56,10,67
1166,22,74,5,50
1167,21,52,1,87
1168,18,63,7,58
1169,24,88,6,91
1170,18,84,5,76
1171,23,85,8,92
1172,24,71,8,40
1173,19,89,2,42
1174,24,85,6,45
1175,18,97,9,45
1176,18,68,4,65
1177,19,97,3,84
1178,21,60,9,77
1179,22,81,10,70
1180,21,77,10,67
1181,23,77,1,35
1182,19,65,2,48
1183,19,87,10,61
1184,19,66,4,38
1185,20,81,8,47
1186,23,70,1,68
1187,24,75,3,92
1188,19,85,10,53
1189,20,65,10,86
1190,19,88,7,46
1191,24,67,2,53
1192,19,86,5,43
1193,24,61,10,58
1194,21,94,10,42
1195,18,53,9,77
1196,20,69,2,77
1197,18,58,7,84
1198,22,61,8,61
1199,20,95,1,83
1200,22,76,7,96
1201,18,67,4,88
1202,19,51,2,83
1203,20,75,2,78
1204,23,54,9,60
1205,20,66,8,85
1206,21,100,3,37
1207,18,54,10,63
1208,20,64,2,59
1209,18,81,8,74
1210,19,62,1,82
1211,21,71,3,53
1212,19,93,8,79
1213,22,96,4,61
1214,24,51,8,45
1215,18,83,5,76
1216,20,56,1,86
1217,23,89,6,96
1218,20,94,3,100
1219,18,99,10,98
1220,19,92,10,90
1221,18,98,6,36
1222,22,96,1,36
1223,22,76,3,44
1224,23,55,10,100
1225,19,53,2,39
1226,19,83,6,70
1227,23,79,1,41
1228,18,85,2,92
1229,19,77,1,97
1230,18,62,3,66
1231,19,69,9,95
1232,24,93,4,59
1233,20,66,1,47
1234,18,79,3,80
1235,21,88,3,100
1236,18,53,9,35
1237,22,91,2,41
1238,23,55,3,81
1239,18,94,7,88
1240,23,94,4,78
1241,24,73,8,38
1242,18,89,8,42
1243,18,62,7,64
1244,21,86,1,73
1245,19,74,4,40
1246,21,88,2,44
1247,22,54,8,97
1248,19,93,10,50
1249,22,56,9,52
1250,19,57,6,92
1251,22,69,2,54
1252,23,69,4,94
1253,22,100,8,60
1254,24,52,2,72
1255,19,52,3,75
1256,18,89,1,52
1257,21,92,1,81
1258,20,98,10,74
1259,23,65,2,72
1260,22,76,1,82
1261,22,69,1,64
1262,23,79,9,35
1263,24,67,8,46
1264,23,76,2,93
1265,24,57,8,62
1266,23,63,10,97
1267,18,93,7,89
1268,22,90,6,36
1269,19,71,3,91
1270,20,73,10,75
1271,21,90,1,75
1272,19,84,3,56
1273,18,89,3,95
1274,18,80,4,83
1275,21,80,4,71
1276,22,63,4,53
1277,19,85,7,53
1278,19,80,4,55
1279,22,65,7,38
1280,19,66,9,83
1281,18,53,6,43
1282,20,98,10,79
1283,24,100,6,85
1284,23,51,6,73
1285,20,59,5,38
1286,23,75,7,70
1287,20,63,4,42
1288,18,96,5,96
1289,22,63,2,43
1290,20,58,7,94
1291,21,73,5,59
1292,20,54,4,40
1293,18,86,8,67
1294,18,93,6,42
1295,20,92,9,57
1296,18,82,7,79
1297,22,86,7,81
1298,19,91,8,74
1299,18,78,5,74
1300,21,55,9,39
1301,20,84,8,86
1302,20,82,5,64
1303,19,50,7,39
1304,23,96,4,49
1305,23,68,7,66
1306,22,62,4,65
1307,22,52,3,79
1308,19,67,3,49
1309,21,84,1,41
1310,19,65,8,63
1311,18,94,2,41
1312,24,80,5,84
1313,20,51,3,97
1314,20,67,6,43
1315,24,92,10,71
1316,23,82,1,52
1317,22,67,5,98
1318,20,79,7,96
1319,22,90,10,100
1320,20,60,8,41
1321,23,65,7,59
1322,21,88,9,42
1323,18,75,4,62
1324,24,89,7,70
1325,19,65,6,36
1326,18,86,5,38
1327,19,70,8,91
1328,24,84,10,46
1329,22,81,6,50
1330,20,64,7,84
1331,21,91,1,53
1332,24,65,2,45
1333,20,62,5,82
1334,23,60,10,88
1335,22,53,3,99
1336,20,82,8,99
1337,20,82,6,88
1338,24,52,3,38
1339,23,62,4,91
1340,18,79,3,92
1341,22,81,5,36
1342,22,67,4,35
1343,21,73,4,96
1344,19,76,9,100
1345,21,100,9,86
1346,19,95,6,98
1347,21,52,6,46
1348,22,94,10,98
1349,22,56,8,36
1350,24,79,7,90
1351,20,72,6,46
1352,18,57,1,89
1353,24,100,3,92
1354,22,57,6,79
1355,20,88,8,63
1356,23,76,7,55
1357,24,93,3,72
1358,19,82,8,42
1359,18,77,10,87
